amr_id,task_count,task_sequence,missing_transition_count,missing_loaded_path_count,estimated_finish_time,estimated_total_delay,total_energy_used,battery_end,energy_violation_count,assignment_method
AMR1,8,T06->T03->T15->T12->T21->T28->T05->T14,0,0,107.891889,105.539556,97.1484,-7.1484,1,m2_milp_goal_programming+mixed
AMR2,8,T02->T08->T22->T23->T20->T26->T18->T29,0,0,107.571222,57.853111,90.5744,-5.5744,1,m2_milp_goal_programming+mixed
AMR3,7,T01->T07->T10->T27->T30->T09->T19,0,0,125.454444,112.839012,105.4034,-5.4034,1,m2_milp_goal_programming+mixed
AMR4,7,T04->T11->T16->T24->T25->T13->T17,0,0,105.951313,72.138384,104.375,-24.375,2,m2_milp_goal_programming+mixed
