amr_id,assigned_amr,task_id,sequence_order,predecessor_task_id,start_node,pickup,delivery,service_time,earliest_start,latest_finish,priority,transition_path_uid,transition_path_id,transition_travel_time,transition_distance,transition_cost,loaded_path_uid,loaded_path_id,loaded_travel_time,loaded_distance,loaded_cost,estimated_arrival_pickup,estimated_start_time,estimated_finish_time,estimated_delay,estimated_waiting,energy_used,battery_after,transition_status,loaded_path_status,assignment_method,notes
AMR1,AMR1,T06,1,,IN1,P2,SORT1,2.0,6.0,36.0,1.0,vg::IN1__P2__path_1,path_1,5.903,5.903,6.903,vg::P2__SORT1__path_1,path_1,6.571111,5.914,7.914,5.903,6.0,14.571111,0.0,0.097,13.3998,76.6002,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR1,AMR1,T03,2,T06,SORT1,P5,SORT1,3.0,2.0,32.0,1.0,vg::SORT1__P5__path_1,path_1,4.709,4.709,5.709,vg::P5__SORT1__path_1,path_1,5.232222,4.709,5.709,19.280111,19.280111,27.512333,0.0,0.0,10.9598,65.6404,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR1,AMR1,T07,3,T03,SORT1,P7,OUT1,3.0,8.0,42.0,2.0,vg::SORT1__P7__path_1,path_1,3.76,3.76,4.76,vg::P7__OUT1__path_1,path_1,6.021111,5.419,6.419,31.272333,31.272333,40.293444,0.0,0.0,10.8628,54.7776,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR2,AMR2,T02,1,,IN2,P3,SORT2,2.0,0.0,28.0,2.0,vg::IN2__P3__path_1,path_1,3.589,3.589,3.589,vg::P3__SORT2__path_1,path_1,8.573333,7.716,8.716000000000001,3.589,3.589,18.162333,0.0,4.0,13.2482,71.7518,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR2,AMR2,T05,2,T02,SORT2,P6,OUT2,2.0,5.0,38.0,2.0,vg::SORT2__P6__path_1,path_1,2.939,2.939,3.439,vg::P6__OUT2__path_1,path_1,4.871111,4.384,4.884,21.101333,21.101333,27.972444,0.0,0.0,8.5998,63.152,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR2,AMR2,T10,3,T05,OUT2,P5,OUT1,3.0,14.0,50.0,2.0,vg::OUT2__P5__path_1,path_1,6.381,6.381,6.381,vg::P5__OUT1__path_1,path_1,7.486667,6.738,7.738,34.353444,34.353444,44.840111,0.0,0.0,15.0666,48.0854,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR3,AMR3,T01,1,,CHG1,P1,SORT1,2.0,0.0,25.0,2.0,vg::CHG1__P1__path_1,path_1,2.44,2.196,2.196,vg::P1__SORT1__path_1,path_1,10.140741,8.214,10.214,2.44,2.44,18.580741,0.0,4.0,12.4528,87.5472,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR3,AMR3,T09,2,T01,SORT1,P4,SORT1,2.0,12.0,48.0,1.0,vg::SORT1__P4__path_1,path_1,7.291111,6.562,8.062000000000001,vg::P4__SORT1__path_1,path_1,8.101235,6.562,8.062000000000001,25.871852,25.871852,35.973087,0.0,0.0,14.8364,72.7108,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR3,AMR3,T12,3,T09,SORT1,P8,OUT1,2.0,18.0,55.0,3.0,vg::SORT1__P8__path_1,path_1,1.022222,0.92,0.92,vg::P8__OUT1__path_1,path_1,3.949383,3.199,3.199,36.995309,36.995309,42.944692,0.0,0.0,5.1588,67.552,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR4,AMR4,T04,1,,CHG2,P8,SORT2,2.0,4.0,35.0,3.0,vg::CHG2__P8__path_1,path_1,2.142727,2.357,2.357,vg::P8__SORT2__path_1,path_1,2.317172,2.294,2.294,2.142727,4.0,8.317172,0.0,1.857273,5.5098,74.4902,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR4,AMR4,T08,2,T04,SORT2,P9,SORT2,2.0,10.0,45.0,3.0,vg::SORT2__P9__path_1,path_1,4.649091,5.114,5.614,vg::P9__SORT2__path_1,path_1,5.165657,5.114,5.614,12.966263,12.966263,28.13192,0.0,8.0,11.6508,62.8394,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
AMR4,AMR4,T11,3,T08,SORT2,P3,OUT2,2.0,16.0,52.0,2.0,vg::SORT2__P3__path_1,path_1,7.014545,7.716,8.716000000000001,vg::P3__OUT2__path_1,path_1,9.450505,9.356,10.356,35.146465,35.146465,46.59697,0.0,0.0,19.3432,43.4962,ok,ok,m2_milp_goal_programming+mixed+p3_wait_reroute_resequence,
