amr_id,task_count,task_sequence,missing_transition_count,missing_loaded_path_count,estimated_finish_time,estimated_total_delay,total_energy_used,battery_end,energy_violation_count,assignment_method
AMR1,6,T01->T07->T08->T12->T03->T11,0,0,84.606222,65.129889,76.6072,13.3928,0,m2_milp_goal_programming+mixed
AMR2,6,T02->T05->T04->T10->T06->T09,0,0,79.658222,59.463333,72.2456,12.7544,0,m2_milp_goal_programming+mixed
