path_uid,from_node,to_node,path_id,rank_by_total,algorithm,node_sequence,edge_sequence,edge_occupancy_offset,node_occupancy_offset,distance,travel_time,turn_count,turn_cost,risk_cost,narrow_count,dynamic_count,lockable_count,bottleneck_capacity,total_cost
P7__OUT2__path_3,P7,OUT2,path_3,3,k_shortest_total,P7->SORT1->P8->SORT2->OUT2,e20->e21->e22->e25,e20@0-3;e21@3-6;e22@6-9;e25@9-11,P7@0;SORT1@3;P8@6;SORT2@9;OUT2@11,8.6,11.0,3,1.5,4.0,0,0,0,1,16.5
P7__CHG1__path_1,P7,CHG1,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P7->P4->P1->J1->CHG1,e15->e10->e05->e26,e15@0-2;e10@2-4;e05@4-6;e26@6-8,P7@0;P4@2;P1@4;J1@6;CHG1@8,7.4,8.0,1,0.5,5.0,1,0,0,1,14.5
P7__CHG1__path_2,P7,CHG1,path_2,2,k_shortest_total,P7->P4->P1->P2->J2->J1->CHG1,e15->e10->e08->e06->e03->e26,e15@0-2;e10@2-4;e08@4-6;e06@6-8;e03@8-10;e26@10-12,P7@0;P4@2;P1@4;P2@6;J2@8;J1@10;CHG1@12,11.4,12.0,4,2.0,8.0,2,0,0,1,24.0
P7__CHG1__path_3,P7,CHG1,path_3,3,k_shortest_total,P7->P4->P5->P2->P1->J1->CHG1,e15->e13->e11->e08->e05->e26,e15@0-2;e13@2-4;e11@4-6;e08@6-8;e05@8-10;e26@10-12,P7@0;P4@2;P5@4;P2@6;P1@8;J1@10;CHG1@12,11.4,12.0,5,2.5,8.0,2,0,0,1,24.5
P7__CHG2__path_1,P7,CHG2,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P7->CHG2,e27,e27@0-2,P7@0;CHG2@2,1.4,2.0,0,0.0,1.0,0,0,0,1,3.0
P8__IN1__path_1,P8,IN1,path_1,1,dijkstra_total+k_shortest_total,P8->P7->P4->P1->J1->IN1,e18->e15->e10->e05->e01,e18@0-2;e15@2-4;e10@4-6;e05@6-8;e01@8-10,P8@0;P7@2;P4@4;P1@6;J1@8;IN1@10,10.0,10.0,1,0.5,6.0,1,0,0,1,17.5
P8__IN1__path_2,P8,IN1,path_2,2,k_shortest_total,P8->SORT1->P7->P4->P1->J1->IN1,e21->e20->e15->e10->e05->e01,e21@0-3;e20@3-6;e15@6-8;e10@8-10;e05@10-12;e01@12-14,P8@0;SORT1@3;P7@6;P4@8;P1@10;J1@12;IN1@14,12.4,14.0,2,1.0,7.0,1,0,0,1,23.0
P8__IN1__path_3,P8,IN1,path_3,3,k_shortest_total,P8->P5->P2->P1->J1->IN1,e16->e11->e08->e05->e01,e16@0-2;e11@2-4;e08@4-6;e05@6-8;e01@8-10,P8@0;P5@2;P2@4;P1@6;J1@8;IN1@10,10.0,10.0,2,1.0,9.0,1,1,1,1,24.0
P8__IN1__path_4,P8,IN1,path_4,4,dijkstra_time,P8->P5->P2->J2->J1->IN1,e16->e11->e06->e03->e01,e16@0-2;e11@2-4;e06@4-6;e03@6-8;e01@8-10,P8@0;P5@2;P2@4;J2@6;J1@8;IN1@10,10.0,10.0,2,1.0,10.0,2,1,1,1,26.0
P8__IN2__path_1,P8,IN2,path_1,1,dijkstra_total+k_shortest_total,P8->P9->P6->P3->J3->IN2,e19->e17->e12->e07->e02,e19@0-2;e17@2-4;e12@4-6;e07@6-8;e02@8-10,P8@0;P9@2;P6@4;P3@6;J3@8;IN2@10,10.0,10.0,1,0.5,6.0,1,0,0,1,17.5
