amr_id,task_count,task_sequence,missing_transition_count,missing_loaded_path_count,estimated_finish_time,estimated_total_delay,total_energy_used,battery_end,energy_violation_count,assignment_method
AMR1,2,T01->T07,0,0,26.887778,0.0,24.0996,65.9004,0,m2_milp_goal_programming+mixed
AMR2,2,T02->T05,0,0,23.972444,0.0,21.848,63.152,0,m2_milp_goal_programming+mixed
AMR3,2,T06->T04,0,0,21.286667,0.0,17.0876,82.9124,0,m2_milp_goal_programming+mixed
AMR4,2,T03->T08,0,0,25.180404,0.0,24.0716,55.9284,0,m2_milp_goal_programming+mixed
