sample_id,design,x_m,x_n,x_cap_cluster,m,n,cap_cluster,run_key,Cmax,total_delay,remaining_conflicts,feasible,mapping_rule
85,sobol,0.3120316481,0.8820648091,0.5350269452,4,15,2,s1_m04_n15_cap2,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
86,sobol,0.5874225311,0.1131694708,0.5350269452,5,12,2,s1_m05_n12_cap2,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
87,sobol,0.5874225311,0.8820648091,0.6195990192,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
88,sobol,0.5874225311,0.8820648091,0.5350269452,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
89,sobol,0.6842817273,0.6176461456,0.0208906112,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
90,sobol,0.1500569303,0.6176461456,0.0208906112,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
91,sobol,0.6842817273,0.2558224071,0.0208906112,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
92,sobol,0.6842817273,0.6176461456,0.1279839957,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
93,sobol,0.6842817273,0.2558224071,0.1279839957,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
94,sobol,0.1500569303,0.6176461456,0.1279839957,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
95,sobol,0.1500569303,0.2558224071,0.0208906112,3,13,1,s1_m03_n13_cap1,88.119889,101.594111,3,1,round unit-hypercube coordinate to nearest configured discrete level
96,sobol,0.1500569303,0.2558224071,0.1279839957,3,13,1,s1_m03_n13_cap1,88.119889,101.594111,3,1,round unit-hypercube coordinate to nearest configured discrete level
97,sobol,0.5138034709,0.2474960946,0.3512188066,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
98,sobol,0.0950910421,0.2474960946,0.3512188066,3,13,2,s1_m03_n13_cap2,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
99,sobol,0.5138034709,0.4560646992,0.3512188066,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
100,sobol,0.5138034709,0.2474960946,0.2933681672,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
101,sobol,0.5138034709,0.4560646992,0.2933681672,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
102,sobol,0.0950910421,0.2474960946,0.2933681672,3,13,2,s1_m03_n13_cap2,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
103,sobol,0.0950910421,0.4560646992,0.3512188066,3,13,2,s1_m03_n13_cap2,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
104,sobol,0.0950910421,0.4560646992,0.2933681672,3,13,2,s1_m03_n13_cap2,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
105,sobol,0.3877682583,0.7411692785,0.7585204281,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
106,sobol,0.6576624988,0.7411692785,0.7585204281,5,14,3,s1_m05_n14_cap3,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
107,sobol,0.3877682583,0.8298919136,0.7585204281,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
108,sobol,0.3877682583,0.7411692785,0.8874228355,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
109,sobol,0.3877682583,0.8298919136,0.8874228355,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
110,sobol,0.6576624988,0.7411692785,0.8874228355,5,14,3,s1_m05_n14_cap3,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
111,sobol,0.6576624988,0.8298919136,0.7585204281,5,14,3,s1_m05_n14_cap3,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
112,sobol,0.6576624988,0.8298919136,0.8874228355,5,14,3,s1_m05_n14_cap3,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
113,sobol,0.1024802374,0.4122961992,0.2103147022,3,13,1,s1_m03_n13_cap1,88.119889,101.594111,3,1,round unit-hypercube coordinate to nearest configured discrete level
114,sobol,0.3323733639,0.4122961992,0.2103147022,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
115,sobol,0.1024802374,0.5409886837,0.2103147022,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
