run_key,seed,m,n,cap_cluster,cluster_id,method,p1_algorithm,p3_mode,Cmax,total_delay,remaining_conflicts,total_wait_added,solve_time_p2,solve_time_p3,solve_time_total,missing_path_count,missing_transition_count,missing_loaded_path_count,energy_violation_count,p2_feasible,conflict_free,feasible,case_tasks_csv,case_amrs_csv,case_output_dir,source
s1_m03_n15_cap3,1,3,15,3,C03,m2,mixed,wait_reroute_resequence,92.438395,156.222022,2,28.0,117.611,22.125189,139.746265,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n15_cap3,p5_stage5_true_p2_p3_run
s1_m04_n12_cap1,1,4,12,1,C03,m2,mixed,wait_reroute_resequence,46.59697,0.0,0,16.0,58.893,25.970756,84.872382,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n12_cap1,p5_stage5_true_p2_p3_run
s1_m04_n12_cap2,1,4,12,2,C03,m2,mixed,wait_reroute_resequence,61.840111,59.780665,3,42.0,58.871,26.326422,85.213638,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n12_cap2,p5_stage5_true_p2_p3_run
s1_m04_n12_cap3,1,4,12,3,C03,m2,mixed,wait_reroute_resequence,61.840111,59.780665,3,42.0,58.733,29.274816,88.019822,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n12_cap3,p5_stage5_true_p2_p3_run
s1_m04_n13_cap1,1,4,13,1,C03,m2,mixed,wait_reroute_resequence,69.222324,51.319709,0,60.0,58.48,33.738786,92.229539,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n13_cap1,p5_stage5_true_p2_p3_run
s1_m04_n13_cap2,1,4,13,2,C03,m2,mixed,wait_reroute_resequence,66.340111,43.319709,0,55.0,58.475,25.861827,84.346257,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n13_cap2,p5_stage5_true_p2_p3_run
s1_m04_n13_cap3,1,4,13,3,C03,m2,mixed,wait_reroute_resequence,66.340111,43.319709,0,55.0,58.5,25.795939,84.306277,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n13_cap3,p5_stage5_true_p2_p3_run
s1_m04_n14_cap1,1,4,14,1,C03,m2,mixed,wait_reroute_resequence,69.019,33.316555,6,25.0,58.482,12.252217,70.743711,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n14_cap1,p5_stage5_true_p2_p3_run
s1_m04_n14_cap2,1,4,14,2,C03,m2,mixed,wait_reroute_resequence,69.019,33.316555,6,25.0,58.435,12.660118,71.104386,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n14_cap2,p5_stage5_true_p2_p3_run
s1_m04_n14_cap3,1,4,14,3,C03,m2,mixed,wait_reroute_resequence,69.019,33.316555,6,25.0,58.299,12.456063,70.764542,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n14_cap3,p5_stage5_true_p2_p3_run
