amr_id,task_count,task_sequence,missing_transition_count,missing_loaded_path_count,estimated_finish_time,estimated_total_delay,total_energy_used,battery_end,energy_violation_count,assignment_method
AMR1,6,T06->T03->T14->T21->T15->T20,0,0,87.053444,53.169111,79.732,10.268,0,m3_regret_insertion_ls+mixed
AMR2,5,T02->T07->T16->T24->T10,0,0,76.712556,26.712556,70.101,14.899,0,m3_regret_insertion_ls+mixed
AMR3,7,T01->T08->T13->T19->T22->T17->T09,0,0,103.482593,86.57284,86.2746,13.7254,0,m3_regret_insertion_ls+mixed
AMR4,7,T04->T05->T11->T18->T12->T25->T23,0,0,83.971717,26.971717,80.9354,-0.9354,1,m3_regret_insertion_ls+mixed
