run_id,seed,n,method,p1_algorithm,amr_count,H,Cmax,total_delay,late_count,priority_late_count,missing_path_count,missing_transition_count,missing_loaded_path_count,energy_violation_count,solve_time,feasible,capacity_satisfied,F2,F3,case_tasks_csv,case_amrs_csv,case_output_dir,solver_info,source
stage3_m2_s1_n18,1,18,m2,mixed,4,55.0,63.556667,48.584141,3,4.0,0,0,0,0,113.881,1,0,2916.457071,497.914444,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_18/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_18/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_18,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 4.0, ""f1_late"": 3.0, ""f2"": 2916.457097, ""f3"": 494.03667}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 113.88}",p5_stage3_self_run
stage3_m2_s1_n19,1,19,m2,mixed,4,55.0,69.003111,39.443091,3,4.0,0,0,0,0,113.082,1,0,2654.463434,583.206689,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_19/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_19/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_19,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 4.0, ""f1_late"": 3.0, ""f2"": 2654.46344, ""f3"": 579.32891}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 113.081}",p5_stage3_self_run
stage3_m2_s1_n20,1,20,m2,mixed,4,55.0,73.847901,47.933336,3,4.0,0,0,0,0,112.521,1,0,3103.199618,609.28099,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_20/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_20/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_20,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 4.0, ""f1_late"": 3.0, ""f2"": 3103.199585, ""f3"": 602.53561}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 112.52}",p5_stage3_self_run
stage3_m2_s1_n21,1,21,m2,mixed,4,55.0,80.525432,61.301695,3,4.0,0,0,0,0,112.261,1,0,3929.699776,643.643388,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_21/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_21/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_21,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 4.0, ""f1_late"": 3.0, ""f2"": 3929.69979, ""f3"": 620.41075}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 112.26}",p5_stage3_self_run
stage3_m2_s1_n22,1,22,m2,mixed,4,55.0,81.532667,73.462121,4,5.0,0,0,0,0,112.551,1,0,4966.749394,643.855677,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_22/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_22/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_22,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 5.0, ""f1_late"": 4.0, ""f2"": 4966.7494, ""f3"": 643.85566}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 112.55}",p5_stage3_self_run
stage3_m2_s1_n23,1,23,m2,mixed,4,55.0,91.504074,128.393185,4,5.0,0,0,0,0,112.827,1,0,7862.266296,784.014112,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_23/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_23/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_23,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 5.0, ""f1_late"": 4.0, ""f2"": 7862.26628, ""f3"": 780.59694}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 112.826}",p5_stage3_self_run
stage3_m2_s1_n24,1,24,m2,mixed,4,55.0,96.474938,147.961198,4,5.0,0,0,0,0,112.609,1,0,8638.117901,838.5941,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_24/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_24/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_24,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 5.0, ""f1_late"": 4.0, ""f2"": 8638.11792, ""f3"": 834.42238}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 112.607}",p5_stage3_self_run
stage3_m2_s1_n25,1,25,m2,mixed,4,55.0,97.240123,157.883366,5,6.0,0,0,0,0,112.712,1,0,9236.348911,821.966499,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_25/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_25/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_25,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 6.0, ""f1_late"": 5.0, ""f2"": 9236.3489, ""f3"": 821.96648}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 112.71}",p5_stage3_self_run
stage3_m2_s1_n26,1,26,m2,mixed,4,55.0,106.253951,193.779654,6,8.0,0,0,0,0,110.463,1,0,12852.926914,928.404401,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_26/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_26/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_26,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 8.0, ""f1_late"": 6.0, ""f2"": 12852.92695, ""f3"": 907.9469}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 110.461}",p5_stage3_self_run
stage3_m2_s1_n27,1,27,m2,mixed,4,55.0,98.979383,162.431241,4,5.0,0,0,0,1,30.235,0,0,9721.66807,778.704472,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_27/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_27/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_27,"{""level_values"": {}, ""level_status"": {""missing"": ""no_solution(No Solution Found)""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 30.232}",p5_stage3_self_run
